아파트명,면적,층수,구,동,년수,거래_날짜,가격,브랜드
은평뉴타운꿈에그린,59.92,10,은평구,진관동,6,20240105,7.38,기타
주공17단지,36.34,8,도봉구,창동,35,20240105,3.35,기타
삼익세라믹,42.93,2,도봉구,쌍문동,36,20240105,2.9,기타
삼익세라믹,42.93,6,도봉구,쌍문동,36,20240105,3.1,기타
북한산아이파크5차,84.45,6,도봉구,창동,20,20240105,8.2,기타
청구,84.63,16,도봉구,쌍문동,28,20240105,5.8,기타
청암2단지,49.77,8,노원구,상계동,23,20240105,3.95,기타
관악산벽산타운5,59.34,1,금천구,시흥동,20,20240106,3.95,기타
금천현대,59.82,8,금천구,독산동,22,20240106,5,기타
그대家,59.6,1,관악구,신림동,21,20240106,4.3,기타
코오롱,52.47,1,서초구,우면동,30,20240106,10,기타
강남자곡아이파크,74.97,12,강남구,자곡동,10,20240106,14.5,기타
두산,84.9,19,금천구,가산동,26,20240106,6.95,기타
닷컴캐슬,73.19,4,동작구,사당동,21,20240106,4.65,기타
송파파인타운11단지,84.94,12,송파구,장지동,17,20240106,12.3,기타
신동아,106.42,2,서초구,방배동,43,20240106,23.5,기타
우성4,152.74,9,강남구,도곡동,39,20240106,36.75,기타
우성사원5,78.99,7,강남구,도곡동,38,20240106,22.9,기타
구로두산위브,36.88,8,구로구,구로동,18,20240106,4.05,기타
타워팰리스1,244.66,54,강남구,도곡동,22,20240106,73.3,기타
래미안 개포 루체하임,59.98,15,강남구,일원동,6,20240106,19.8,래미안
현대,84.96,11,구로구,개봉동,23,20240106,8.1,기타
현대,84.96,11,구로구,개봉동,23,20240106,8.1,기타
상도동삼호아파트,84.52,4,동작구,상도동,30,20240106,8.25,기타
금강KCC,59.72,2,동작구,동작동,21,20240106,8.55,기타
금강KCC,84.95,4,동작구,동작동,21,20240106,9.7,기타
힐스테이트 상도 센트럴파크,84.61,6,동작구,상도동,12,20240106,12.5,힐스테이트
노블스위트,84.85,5,강남구,역삼동,21,20240106,6.5,기타
래미안그레이튼,70.98,12,강남구,역삼동,15,20240106,21.5,래미안
헬리오시티,49.21,30,송파구,가락동,6,20240106,13.25,기타
헬리오시티,59.96,3,송파구,가락동,6,20240106,16.4,기타
래미안파크팰리스,59.97,4,송파구,가락동,17,20240106,12.7,래미안
한신서래,64.53,3,서초구,반포동,37,20240106,16.5,기타
엠브이아파트,83.4,7,서초구,반포동,30,20240106,14.6,기타
반포미도,84.96,8,서초구,반포동,37,20240106,23.9,기타
신길센트럴자이아파트,59.98,4,영등포구,신길동,3,20240106,12,자이
신길센트럴자이아파트,84.98,20,영등포구,신길동,3,20240106,13.1,자이
신길센트럴자이아파트,84.98,14,영등포구,신길동,3,20240106,14.05,자이
산업인,46.97,3,구로구,고척동,48,20240106,2.5,기타
석촌호수효성해링턴타워,15.83,18,송파구,석촌동,9,20240106,2.7,기타
반포자이,59.98,10,서초구,반포동,15,20240106,23.5,자이
신도림3차푸르지오,82.8,4,구로구,신도림동,17,20240106,8.45,푸르지오
신동아리버파크,59.67,11,동작구,노량진동,23,20240106,8.5,기타
목동우성2,113.91,4,양천구,신정동,24,20240106,9.9,기타
한성,70.2,5,구로구,고척동,38,20240106,3.8,기타
목동파크자이(101동~108동),84.93,6,양천구,신정동,5,20240106,13.1,자이
우성,59.82,14,동작구,노량진동,27,20240106,8.45,기타
동아1,59.98,27,구로구,신도림동,25,20240106,8.5,기타
영등포푸르지오,84.91,23,영등포구,영등포동,22,20240106,11.37,푸르지오
잠실엘스,84.8,6,송파구,잠실동,16,20240106,22.4,기타
잠실엘스,84.88,10,송파구,잠실동,16,20240106,22.3,기타
주공아파트 5단지,82.61,13,송파구,잠실동,46,20240106,28.36,기타
목동센트럴아이파크위브2단지,52.96,3,양천구,신월동,4,20240106,6.7,기타
목동센트럴아이파크위브2단지,84.97,15,양천구,신월동,4,20240106,10.25,기타
현대,84.84,8,양천구,신정동,29,20240106,8.9,기타
장미1,155.22,2,송파구,신천동,45,20240106,28.7,기타
LG한강자이,169.44,3,용산구,이촌동,21,20240106,34.5,자이
장미2,82.45,7,송파구,신천동,45,20240106,19,기타
당산대우,31.73,13,영등포구,당산동2가,25,20240106,3.475,기타
당산대우,31.73,17,영등포구,당산동2가,25,20240106,3.5,기타
동부센트레빌,100.8,9,용산구,이촌동,23,20240106,18.35,기타
아이파크,84.88,3,양천구,신정동,22,20240106,15.25,기타
아이파크,84.88,17,양천구,신정동,22,20240106,15.5,기타
길훈,49.77,3,양천구,신월동,37,20240106,4.18,기타
트라팰리스웨스턴에비뉴,127.65,13,양천구,목동,15,20240106,27,기타
송파현대힐스테이트,84.99,3,송파구,풍납동,18,20240106,10.25,힐스테이트
양평현대6차,59.98,16,영등포구,양평동3가,24,20240106,8.5,기타
강변삼성스위트,59.94,21,용산구,원효로4가,25,20240106,11,기타
자양2현대,84.88,13,광진구,자양동,29,20240106,11.2,기타
비체힐리버뷰,17.35,7,마포구,마포동,12,20240106,1.5,기타
대동,84.65,8,광진구,자양동,25,20240106,11,기타
한남하우스,60.63,5,용산구,한남동,54,20240106,4.05,기타
용산롯데캐슬센터포레,59.95,4,용산구,효창동,5,20240106,13.6,롯데캐슬
현대8(803동),59.94,14,광진구,광장동,28,20240106,10.175,기타
강변힐스테이트,59.78,14,마포구,현석동,20,20240106,10.7,힐스테이트
공덕아이파크,84.96,14,마포구,신공덕동,11,20240106,13.3,기타
신공덕래미안3차,59.96,14,마포구,신공덕동,21,20240106,10.5,래미안
롯데캐슬위너,59.98,3,양천구,목동,19,20240106,8.55,롯데캐슬
광진코지웰,15.2,5,광진구,화양동,10,20240106,1.345,기타
옥수파크힐스101동~116동,59.78,9,성동구,옥수동,8,20240106,14.85,기타
서강예가,59.98,12,마포구,창전동,17,20240106,10.7,기타
금호삼성래미안,84.45,5,성동구,금호동1가,23,20240106,10.8,래미안
고덕롯데캐슬베네루체,84.92,25,강동구,상일동,5,20240106,12.7,롯데캐슬
쌍용,59.76,12,성동구,성수동1가,27,20240106,11.3,기타
마포현대,59.95,2,마포구,공덕동,36,20240106,8.1,기타
래미안하이리버,59.99,1,성동구,금호동2가,12,20240106,10.95,래미안
길성그랑프리텔,75.5,5,강서구,내발산동,21,20240106,6.75,기타
선사현대아파트,59.64,7,강동구,암사동,24,20240106,8.55,기타
금호자이1차,59.99,3,성동구,금호동2가,12,20240106,10.85,자이
이편한세상금호파크힐스,59.98,12,성동구,금호동1가,5,20240106,13.5,기타
마곡수명산파크1단지,84.53,8,강서구,내발산동,17,20240106,9.88,기타
e편한세상신금호파크힐스,59.98,17,성동구,금호동1가,5,20240106,13.5,기타
고덕아르테온,84.94,24,강동구,상일동,4,20240106,14.5,기타
고덕아르테온,84.95,10,강동구,상일동,4,20240106,11,기타
마포래미안푸르지오2단지,59.98,5,마포구,아현동,10,20240106,14,래미안
행당한진타운,84.71,20,성동구,행당동,24,20240106,11.75,기타
마곡엠벨리(15단지),59.79,13,강서구,마곡동,10,20240106,10,기타
대림e-편한세상,59.96,13,성동구,행당동,24,20240106,9.18,기타
대림e-편한세상,84.87,14,성동구,행당동,24,20240106,10.8,기타
대림e-편한세상,114.94,14,성동구,행당동,24,20240106,12.9,기타
고덕그라시움,59.79,10,강동구,고덕동,5,20240106,12.6,기타
주공3,37.67,8,강서구,등촌동,29,20240106,5.32,기타
대명,59.99,9,마포구,연남동,29,20240106,7.5,기타
센트라스,59.94,7,성동구,하왕십리동,8,20240106,13.3,기타
대성유니드,84.71,7,성동구,마장동,20,20240106,9.6,기타
대성유니드,114.52,17,성동구,마장동,20,20240106,11.6,기타
독립문삼호,84.78,5,서대문구,영천동,29,20240106,8.5,기타
동서울한양,59.67,10,동대문구,답십리동,35,20240106,5.8,기타
래미안위브,84.98,8,동대문구,답십리동,10,20240106,11.55,래미안
마곡삼성아파트,84.92,1,강서구,방화동,26,20240106,7.07,기타
강동리버스트4단지,59.99,4,강동구,강일동,4,20240106,7.25,기타
래미안 허브리츠,114.98,8,동대문구,용두동,13,20240106,12.8,래미안
래미안허브리츠,114.98,8,동대문구,용두동,13,20240106,12.8,래미안
전농동신성미소지움,55.37,17,동대문구,전농동,19,20240106,7.85,기타
미주,101.65,8,동대문구,청량리동,46,20240106,10.1,기타
베라체캠퍼스,24.01,4,동대문구,회기동,11,20240106,2.55,기타
휘경미소지움,59.84,12,동대문구,휘경동,25,20240106,5.85,기타
서강2차(2동),94.41,6,서대문구,홍은동,35,20240106,4.8,기타
유원,64.26,13,서대문구,홍은동,37,20240106,4.225,기타
