면적,층수,구,동,년수,가격,브랜드,등급
59.94,7,성동구,하왕십리동,8,13.3,기타,C
84.71,7,성동구,마장동,20,9.6,기타,B
114.52,17,성동구,마장동,20,11.6,기타,A
84.78,5,서대문구,영천동,29,8.5,기타,B
59.67,10,동대문구,답십리동,35,5.8,기타,B
84.98,8,동대문구,답십리동,10,11.55,래미안,B
84.92,1,강서구,방화동,26,7.07,기타,B
59.99,4,강동구,강일동,4,7.25,기타,B
114.98,8,동대문구,용두동,13,12.8,래미안,A
114.98,8,동대문구,용두동,13,12.8,래미안,A
55.37,17,동대문구,전농동,19,7.85,기타,B
101.65,8,동대문구,청량리동,46,10.1,기타,C
24.01,4,동대문구,회기동,11,2.55,기타,B
59.84,12,동대문구,휘경동,25,5.85,기타,B
94.41,6,서대문구,홍은동,35,4.8,기타,A
64.26,13,서대문구,홍은동,37,4.225,기타,B
84.96,24,중랑구,상봉동,28,6.8,기타,A
84.97,6,중랑구,신내동,28,5.5,기타,A
59.98,6,성북구,석관동,5,8.1,래미안,B
59.86,16,성북구,하월곡동,21,6.55,기타,B
84.97,5,성북구,길음동,19,8.25,기타,C
124.28,2,은평구,구산동,19,5.4,기타,A
84.98,6,은평구,구산동,33,4.25,기타,B
59.82,11,강북구,미아동,13,6.5,기타,C
59.99,17,강북구,미아동,13,6.44,기타,B
50.14,5,노원구,월계동,38,6.38,기타,C
36.16,7,도봉구,창동,35,3.3,기타,B
36.16,14,도봉구,창동,35,3.4,기타,B
49.5,6,노원구,중계동,34,5.139,기타,B
49.85,12,노원구,중계동,34,4.85,기타,B
82.7,4,도봉구,쌍문동,20,4.6,기타,A
58.01,2,노원구,상계동,37,6.65,기타,C
58.01,7,노원구,상계동,36,5.95,기타,B
58.01,4,노원구,상계동,36,6.2,기타,C
49.94,12,노원구,상계동,36,4.5,기타,B
44.33,2,노원구,상계동,36,3.75,기타,B
59.39,12,노원구,상계동,36,4.83,기타,B
49.77,18,도봉구,도봉동,28,3.1,기타,B
55.77,5,노원구,상계동,22,4.2,기타,A
59.9,6,노원구,상계동,15,5.7,기타,B
85,14,송파구,가락동,27,12.8,기타,A
84.97,11,구로구,온수동,14,7.725,힐스테이트,B
68.78,9,송파구,가락동,36,8.98,기타,A
