Date No.,Nvidia,Intel
849,45.45,32.49
850,46.44,33.68
851,47.47,33.81
852,47.06,33.77
853,45.5,32.7
854,44.29,33.34
855,44.59,32.96
856,45.66,33.42
857,45.43,33.67
858,45.88,33.86
859,46.73,36.09
860,46.71,35.06
861,46.49,35.08
862,44.25,33.7
863,44.49,34.17
864,44.66,34.56
865,45.4,34.65
866,44.64,34.44
867,42.53,33.72
868,42.37,34.11
869,40.84,34.32
870,43.73,35.09
871,43.92,34.2
872,43.47,32.98
873,43.32,32.04
874,43.28,32.21
875,46.95,32.59
876,45.65,32.35
877,47.09,33.42
878,47.14,32.05
879,46,32.7
880,46.81,33.07
881,48.76,33.75
882,49.24,33.96
883,49.33,34.56
884,48.49,36.01
885,48.53,36.11
886,47.04,36.37
887,46.22,37.55
888,45.56,37.38
889,45.16,37.96
890,44.85,38.22
891,45.47,38.07
892,45.56,38.03
893,43.88,37.26
894,43.95,37.37
895,43.5,35.74
896,42.22,34.12
897,41,34.08
898,41.59,33.62
899,42.21,33.73
900,41.9,33.27
901,42.45,34.04
902,43.07,34.6
903,43.48,34.97
904,44.77,34.88
905,43.5,35.1
906,44.02,35.34
907,44.67,35.3
908,45.75,35.59
909,45.26,35.47
910,45.78,35.83
911,46.79,36.27
912,46.93,36.23
913,45.44,35.38
914,46.08,35.96
915,43.92,35.47
916,42.18,35.05
917,42.09,35.08
918,41.37,34.35
919,42.96,33.29
920,43.65,34.02
921,41.76,32.29
922,40.31,31.99
923,40.48,34.96
924,41.15,35.1
925,40.76,35.9
926,42.31,36.68
927,43.49,37.08
928,44.99,37.51
929,45.73,37.45
930,45.94,38.26
931,46.56,37.42
932,46.93,37.3
933,48.32,38.35
934,48.6,37.72
935,49.64,38.89
936,48.87,40.07
937,49.46,42.78
938,49.28,43.23
939,50.39,44.15
940,49.93,43.06
941,48.7,43.09
942,47.76,43.38
943,48.22,43.5
944,47.8,43.65
945,48.12,44.35
946,46.75,44.11
947,46.75,43.16
948,45.49,41.79
949,46.55,41.37
950,45.49,40.72
951,46.58,41.59
952,47.49,42.14
953,46.61,43.95
954,47.64,43.46
955,48.07,43.98
956,48.34,44.58
957,48.88,45.55
958,50.06,45.09
959,49.59,46.04
960,48.1,45.16
961,48.98,46.46
962,48.82,47.37
963,49.27,49.83
964,49.4,50.09
965,49.51,49.72
966,49.51,49.59
967,48.15,47.17
968,47.56,46.43
969,47.98,46.25
970,49.08,46.27
971,52.24,47.81
972,53.12,47.41
973,54.33,46.84
974,54.81,47.01
975,54.69,46.5
976,56.37,46.44
977,56.04,45.45
978,57.09,46.12
979,59.47,47.51
980,59.64,47.58
981,59.86,48.24
982,61.34,48.44
983,61.6,48.9
984,61.01,43.07
985,62.45,43.26
986,62.76,42.35
987,61.51,42.51
988,63.01,42.79
989,66.14,42.04
990,69.31,42.2
991,68.2,42.3
992,70.08,42.34
993,69.62,42.06
994,72.11,42.86
995,72.23,43.58
996,72.11,42.71
997,73.88,43.73
998,72.64,43.6
999,72.59,43.06
1000,69.43,44.06
1001,67.45,43.02
1002,78.52,42.54
1003,78.79,42.55
1004,79.07,42.55
1005,78.68,42.29
1006,77.64,41.56
1007,79.09,42.61
1008,82.26,43.37
1009,85.21,45.14
1010,85.94,42.71
1011,88.68,44.05
1012,92.65,45.67
1013,87.51,43.55
1014,85.75,44.4
1015,91.89,44.77
1016,90.87,42.78
1017,87.92,42.31
1018,87.82,42.2
1019,88.43,42.27
1020,89.38,41.62
1021,90.35,41.76
1022,91.41,41.98
1023,94.27,42.13
1024,94.98,41.4
1025,92.54,41.56
1026,90.23,43.32
1027,90.33,43.71
1028,90.34,44.06
1029,89.43,43.49
1030,88.94,39.91
1031,85.88,39.32
1032,87.99,38.31
1033,87.11,37.59
1034,85.33,37.93
1035,87.02,36.82
1036,90.59,37.24
1037,88.17,35.32
1038,85.98,35.94
1039,87.39,35.89
1040,84.02,35.31
1041,84.65,34.68
1042,76.18,33.85
1043,79.5,34.05
1044,82.4,33.93
1045,79.66,34.14
1046,82.61,34.75
1047,87.71,31.55
1048,87.74,31.04
1049,86.38,30.16
1050,83.02,30.06
1051,85.8,30.2
1052,88.77,30.58
1053,92.12,30.77
1054,90.53,30.49
1055,90.39,29.81
1056,88.73,29.9
1057,89.86,29.66
1058,90.38,30.32
1059,91.33,30.85
1060,94.61,31.07
1061,94.34,31.83
1062,92.46,31.63
1063,94.76,31.9
1064,95.36,31.54
1065,94.93,31.22
1066,103.77,29.89
1067,106.44,30.53
1068,113.87,30.86
1069,114.8,29.94
1070,110.47,30
1071,109.61,30.66
1072,114.97,30.1
1073,116.41,29.84
1074,122.41,30.59
1075,120.97,30.23
1076,120.86,30.55
1077,121.76,30.72
1078,120.89,30.73
1079,125.18,30.57
1080,129.59,30.27
1081,131.86,30.26
1082,130.96,30.78
1083,135.56,30.44
1084,130.76,30.43
1085,126.55,30.89
1086,118.09,30.38
1087,126.07,30.55
1088,126.38,30.35
1089,123.97,30.4
1090,123.52,30.77
1091,124.28,30.65
1092,122.65,30.87
1093,128.26,31.03
1094,125.81,31.82
1095,128.18,33.78
1096,131.36,34.37
1097,134.89,34.65
1098,127.38,33.29
1099,129.22,34.27
1100,128.42,34.24
1101,126.34,34.12
1102,117.97,34.24
1103,121.07,34.65
1104,117.91,32.77
1105,123.52,33.16
1106,122.57,32.74
1107,114.23,31.5
1108,112.26,30.9
1109,113.04,31.15
1110,111.57,30.64
1111,103.71,29.94
1112,117,30.55
1113,109.19,28.87
1114,107.25,21.34
1115,100.43,19.98
1116,104.23,19.7
1117,98.89,18.99
1118,104.95,20.49
1119,104.73,19.71
1120,109,19.36
1121,116.12,20.47
1122,118.06,19.92
1123,122.84,20.69
1124,124.56,20.87
1125,129.98,21.52
1126,127.23,20.99
1127,128.48,21.41
1128,123.72,20.1
1129,129.35,20.54
1130,126.44,20.13
1131,128.28,20.07
1132,125.59,19.61
1133,117.57,20.13
1134,119.35,22.04
1135,107.98,20.1
1136,106.19,19.43
1137,107.19,19.4
1138,102.81,18.89
1139,106.45,19.07
1140,108.08,18.98
1141,116.89,19.64
1142,119.13,19.36
1143,119.09,19.66
1144,116.77,20.91
1145,115.58,21.47
1146,113.36,20.77
1147,117.86,21.14
1148,115.99,21.84
1149,116.25,22.56
1150,120.86,22.81
1151,123.5,23.54
1152,124.03,23.92
1153,121.39,23.91
1154,121.43,23.46
1155,116.99,22.69
1156,118.84,22.39
1157,122.84,22.26
1158,124.91,22.59
1159,127.71,22.38
1160,132.88,23.32
1161,132.64,23.46
1162,134.8,23.22
1163,134.79,23.56
1164,138.06,23.44
1165,131.59,22.66
1166,135.71,22.31
1167,136.92,22.44
1168,137.99,22.77
1169,143.7,22.84
1170,143.58,22.4
1171,139.55,21.98
1172,140.4,22.34
1173,141.53,22.68
1174,140.51,22.92
1175,141.24,22.9
1176,139.33,22.3
1177,132.75,21.52
1178,135.39,23.2
1179,136.04,22.52
1180,139.9,23.32
1181,145.6,25.05
1182,148.87,26.23
1183,147.62,26.2
1184,145.25,25.05
1185,148.28,24.16
1186,146.26,24.92
1187,146.75,25.03
1188,141.97,24.35
1189,140.14,24.84
1190,147,24.2
1191,145.88,24.01
1192,146.66,24.44
1193,141.94,24.5
1194,136.01,24.87
1195,136.91,24.05
1196,135.33,23.65
1197,138.24,24.05
1198,138.62,23.93
