전용면적,층수,연수,구,거래금액(억원)
84.89,22,24,동대문,7.345
81.63,5,35,강동구,7.43
59.95,22,28,광진구,8.9
84.98,17,3,영등포,13.3
84.92,3,5,관악구,11
84.97,6,4,양천구,7.85
99.15,3,39,양천구,17.5
84.99,7,20,양천구,10.2
71.83,8,41,노원구,5.99
84.48,3,41,강남구,29
84.9725,16,8,송파구,13.7
84.98,6,4,양천구,9.6
115.54,22,26,동작구,10.45
59.9,5,28,구로구,5.2
60.39,3,25,중구,6.2
84.751,15,36,송파구,16.3
59.96,2,16,강남구,20.5
84.29,14,14,강북구,9.2
59.96,3,3,은평구,8.8
84.83,10,10,강남구,14.4
59.93,10,6,서초구,24.3
84.87,3,26,성북구,7
59.817,2,15,은평구,7
84.697,10,10,금천구,9.2
41.85,9,30,강서구,5.15
33.18,7,30,강서구,4.1
84.72,16,25,성북구,7.1
59.22,6,34,중랑구,4.9
45.9,8,36,노원구,4.9
84.83,13,24,동대문,7.4
79.97,1,37,구로구,5.52
84.822,6,25,성동구,13.75
167.14,18,15,은평구,11.5
84.96,9,25,광진구,13.75
72.7,12,40,송파구,11
60.13,13,41,강남구,19
84.5,4,36,영등포,10.75
125.36,44,13,구로구,17
114.88,9,22,중구,13.75
59.89,10,15,구로구,7.1
51.03,4,30,강서구,4.2
59.95,12,28,광진구,8.88
63.82,4,7,강남구,7.8005
84.972,8,7,중구,15.3
84.55,8,10,강서구,10.64
59.98,11,15,서초구,24.5
84.94,13,28,강동구,9.45
84.98,16,6,은평구,8.7
84.97,9,18,서초구,13.25
59.8848,5,18,강남구,19
114.84,12,24,영등포,13.7
50.14,8,38,노원구,6.88
84.9,9,26,성북구,7.7
84.9921,13,5,강동구,11.4
45.55,15,36,노원구,5.4
59.82,1,24,강북구,2.3
55.55,3,22,금천구,5.87
84.98,11,18,서초구,22.25
59.12,9,9,서대문,4.55
84.84,12,29,양천구,8.8
59.39,9,5,동대문,8.3
59.9398,20,3,강동구,11.35
84.87,4,24,구로구,9
59.98,3,14,강동구,9.85
84.9771,15,5,동대문,10.3
59.92,2,3,성북구,7.15
58.77,14,36,도봉구,4.25
155.97,4,20,종로구,14.8
59.76,7,30,강남구,12.35
84.93,4,30,도봉구,5.5
244.19,8,25,서초구,19
59.43,10,38,마포구,11
59.96,3,6,송파구,15.4
29.53,11,20,용산구,3.69
79.7,16,23,송파구,13.3
79.42,9,46,서초구,24.6
29.35,3,1,중랑구,2.7445
49.82,17,4,강동구,6.18
84.95,31,7,금천구,10.3
131.83,11,38,강동구,15.3
59.57,14,25,구로구,6.27
59.97,7,26,성북구,6.3
47.94,10,38,양천구,12.1
134.99,3,21,강서구,11.7
31.96,5,1,강북구,3.08
191.872,31,15,마포구,25
72.34,3,35,광진구,12.8
84.93,6,18,양천구,13.7
32.34,4,36,도봉구,3.58
59.74,16,29,성동구,6.4
59.86,4,24,송파구,10.2
59.34,25,24,동대문,6.8
84.98,5,19,강서구,12.4
59.96,3,3,은평구,8.5
42.93,9,36,도봉구,3.3
36.2275,20,2,은평구,4.5
59.67,7,36,도봉구,3.95
54.94,5,37,양천구,11.3
84.962,13,18,구로구,7
60,5,26,마포구,8.5
84.8768,10,20,금천구,7.25
78.87,5,4,양천구,9.3
84.99,24,27,광진구,14.35
18.92,17,9,동대문,1.45
70.62,9,38,도봉구,4.58
84.78,15,30,서대문,8.5
101.94,8,10,강남구,18.8
59.373,15,17,성북구,8.15
84.96,11,25,금천구,6.1
84.94,4,35,노원구,7.1
59.64,3,24,강동구,8.37
79.8,9,34,성동구,10.2
59.9,28,5,성북구,8.6
16.93,6,11,강북구,1.665
84.65,7,36,은평구,7.825
97.35,4,24,강남구,24
59.9825,11,7,강서구,9.1
121.931,1,17,강남구,30
83.45,23,8,마포구,16
45.55,11,35,노원구,3.965
84.97,22,3,송파구,13.5
59.866,14,22,은평구,5.6
39.6,7,31,강서구,5.1
79.777,23,22,영등포,10.25
84.951,4,11,동작구,10.9
84.76,10,18,마포구,11.4
44.64,23,26,구로구,4.5
84.99,19,6,송파구,18.9
36.88,7,18,구로구,4.1
84.92,3,10,성동구,14.7
84.96,13,24,노원구,6.35
59.88,14,36,구로구,5.1
44.52,2,32,노원구,3.55
59.97,5,25,광진구,10.4
36.01,7,11,구로구,2.67
57.33,16,27,서초구,15
84.971,31,9,서대문,12.5
59.75,17,20,관악구,7.5
80.5154,16,4,서초구,16.3
49.14,1,36,양천구,10.5
48.26,7,47,영등포,14.3
84.5,13,28,노원구,6.85
84.98,2,6,송파구,16.55
84.98,11,6,송파구,20.5
59.9,3,15,성북구,7.17
145.72,12,18,송파구,14.25
83.52,7,39,강동구,9.5
75.48,1,43,영등포,7.8
59.39,12,27,노원구,4.6
32.39,11,37,노원구,3.95
84.98,14,8,성동구,14.45
194.51,1,21,서초구,19.7
74.54,3,31,강남구,18.9
59.96,16,16,송파구,18.4
47.24,13,9,종로구,3.8
84.96,8,25,강동구,8.98
84.72,5,20,은평구,5.2
61.59,11,42,영등포,8.3
36.2275,17,2,은평구,4.5
59.983,7,17,마포구,10.63
59.98,12,15,서초구,23.5
44.52,4,32,노원구,3.65
49.54,8,33,노원구,5.06
84.85,5,36,노원구,7.85
59.99,1,4,강동구,7.05
39.6,12,31,강서구,5.43
84.98,7,23,영등포,13
50.82,6,3,은평구,5.6
59.79,20,23,동대문,5.95
59.94,5,29,강서구,6.38
84.72,4,30,성북구,6.3
83.45,14,8,마포구,15.25
84.87,6,17,동작구,9.4
83.06,15,36,송파구,19.3
58.01,1,37,노원구,6.7
59.981,16,5,강동구,9.98
84.43,10,44,강남구,22.8
84.983,5,21,구로구,9.9
115.26,7,31,노원구,11.285
59.86,5,3,강서구,10.7
13.62,13,11,노원구,1.25
84.99,16,9,은평구,10.3
84.951,5,12,동작구,13.1
142.034,11,12,마포구,20.7
59.95,1,25,종로구,8.4
84.83,9,5,동대문,11.8
65.14,3,35,노원구,5.95
84.2293,11,5,마포구,12
59.58,19,20,관악구,7
59.7479,28,5,강남구,20.5
59.85,9,6,서대문,12.1
59.9365,8,3,동작구,10.45
36.2275,23,2,은평구,4.5
21.7,7,11,강서구,1.175
73.08,6,38,구로구,7.2
84.445,13,3,강동구,9.738
59.97,4,18,강동구,5
84.92,14,32,강동구,11.5
50.14,5,38,노원구,6.7
49.77,12,28,중랑구,5.15
59.97,15,4,양천구,8.8
84.55,12,19,도봉구,7.55
167.73,10,21,송파구,19.5
114.66,5,25,성북구,8
84.89,23,13,용산구,17.75
59.34,12,24,강서구,7
84.8,12,21,양천구,8.4
49.9281,5,2,서초구,17.56
50.18,7,37,노원구,5.75
